L (m),m (kg),n,E (J)
4.370861069626262e-09,5.195146115295956e-28,3,4.4151780864298824e-23
9.556428757689246e-09,4.796506139398643e-28,9,9.550287503346654e-23
7.587945476302646e-09,2.6518987947209894e-29,5,9.083756145235965e-22
6.387926357773329e-09,3.4184070458129286e-28,8,2.3947824147579535e-22
2.4041677639819287e-09,3.8075344272894985e-28,7,1.2165464387479368e-21
2.403950683025824e-09,3.9936384039409333e-28,8,1.5476253577093808e-21
1.5227525095137952e-09,5.805502140950278e-28,7,1.9795342079858995e-21
8.795585311974417e-09,5.340223044348244e-28,3,1.166020078747659e-23
6.410035105688879e-09,6.082579782099306e-28,2,8.234336046277353e-24
7.372653200164409e-09,7.650948666067404e-28,7,6.47338586016887e-23
1.1852604486622221e-09,8.13154051551249e-28,3,3.8773640850293156e-22
9.729188669457949e-09,7.183767654578906e-28,3,7.014574442990583e-24
8.491983767203797e-09,9.555637246285753e-28,2,3.0379124691921633e-24
2.911051996104485e-09,1.9116173351952906e-29,4,5.35564533459214e-21
2.6364247048639057e-09,1.9650178549643093e-28,8,2.5441781544519285e-21
2.6506405886809044e-09,8.456068390661793e-30,1,9.680823053504695e-22
3.73818018663584e-09,6.477919869118639e-28,1,6.542706769016812e-24
5.72280788469014e-09,8.98122321455932e-28,5,4.403838064919226e-23
4.887505167779041e-09,2.4416316250938066e-28,5,2.5867749894329245e-22
3.621062261782377e-09,9.2710021370599e-28,1,4.338730852721387e-24
6.506676052501415e-09,6.111314963830025e-29,6,7.701970319510128e-22
2.2554447458683764e-09,9.344950343813894e-28,1,1.1839534501381984e-23
3.6293018368169637e-09,3.522062268211188e-28,5,3.31894774156251e-22
4.297256589643225e-09,1.0222954970361222e-28,9,2.290920255618765e-21
5.104629857953323e-09,4.8633447460305805e-28,5,9.854117474621422e-23
8.066583652537123e-09,2.5744546880955953e-28,6,1.267284505409374e-22
2.7970640394252378e-09,2.8551651635015714e-28,8,1.5068904243382391e-21
5.628109945722504e-09,3.07913403957853e-28,1,5.525157847543974e-24
6.331731119758381e-09,8.032031745246141e-28,2,6.436288082646884e-24
1.4180537144799795e-09,5.395760315262469e-28,9,4.0235483774431436e-21
6.467903667112945e-09,3.119275222267633e-28,3,3.6261054886411874e-23
2.5347171131856238e-09,6.106844829059387e-28,6,5.205884178942745e-22
1.5854643368675157e-09,7.164061386163928e-28,5,7.6496340763401735e-22
